Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,MEPSS11---,EXPLORATIONS IN SOCIAL STUDIES 11,Social Studies,,,Regular,75,,79,,24,,3.0
,,,,,,,,4,,,,,
,MEVSC11---,ENVIRONMENTAL SCIENCE 11,Science,,,Regular,42,,47,,23,,2.0
,,,,,,,,5,,,,,
,MEVSC12C--,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,Science,,,Regular,49,,60,,23,,2.0
,,,,,,,,11,,,,,
,MFMP-10---,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,Mathematics,,,Regular,110,,110,,29,,4.0
,,,,,,,,0,,,,,
,MFMP-10C--,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,Mathematics,,,Regular,42,,42,,29,,2.0
,,,,,,,,0,,,,,
,MFMP-10H--,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,Mathematics,,,Regular,29,,29,,29,,1.0
,,,,,,,,0,,,,,
,MFOM-11---,FOUNDATIONS OF MATHEMATICS 11,Mathematics,,,Regular,55,,55,,29,,2.0
,,,,,,,,0,,,,,
,MFOOD10---,ADST –  FOOD STUDIES 10,Applied Skills,,,Regular,65,,117,,23,,3.0
,,,,,,,,52,,,,,
,MFOOD11---,FOOD STUDIES 11,Applied Skills,,,Regular,41,,73,,23,,5.0
,,,,,,,,32,,,,,
,MFOOD12---,FOOD STUDIES 12,Applied Skills,,,Regular,56,,83,,23,,5.0
,,,,,,,,27,,,,,
,MFR--09---,FRENCH 9,Modern Languages,,,Regular,30,,43,,29,,1.0
,,,,,,,,13,,,,,
,MFR--10---,FRENCH 10,Modern Languages,,,Regular,26,,34,,29,,1.0
,,,,,,,,8,,,,,
,MFR--11---,FRENCH 11,Modern Languages,,,Regular,66,,70,,29,,3.0
,,,,,,,,4,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 6,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MFR--12---,FRENCH 12,Modern Languages,,,Regular,22,,29,,29,,2.0
,,,,,,,,7,,,,,
,MGE--11,GERMAN 11,Languages,,,Regular,2,,2,,75,,1.0
,,,,,,,,0,,,,,
,MGE--12,GERMAN 12,Languages,,,Regular,62,,62,,75,,1.0
,,,,,,,,0,,,,,
,MGMT-12L--,GEOMETRY 12,Mathematics,,,Regular,31,,31,,29,,1.0
,,,,,,,,0,,,,,
,MGRPR11--L,GRAPHIC PRODUCTION 11 LINEAR,Applied Skills,,,Regular,22,,22,,50,,1.0
,,,,,,,,0,,,,,
,MGRPR12--L,GRAPHIC PRODUCTION 12 LINEAR,Applied Skills,,,Regular,11,,11,,50,,1.0
,,,,,,,,0,,,,,
,MIDS-0B---,INDEPENDENT DIRECTED STUDIES 10B,Personal Development,,,Regular,5,,6,,29,,1.0
,,,,,,,,1,,,,,
,MIDS-0C---,INDEPENDENT DIRECTED STUDIES 10C,Personal Development,,,Regular,14,,14,,20,,1.0
,,,,,,,,0,,,,,
,MIMCB11--L,INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,Band,,,Regular,30,,33,,100,,1.0
,,,,,,,,3,,,,,
,MIMCB12--L,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,Band,,,Regular,17,,18,,100,,1.0
,,,,,,,,1,,,,,
,MIMG-11---,INSTRUMENTAL MUSIC 11: GUITAR,Music,,,Regular,0,,1,,29,,2.0
,,,,,,,,1,,,,,
,MIMG-12---,INSTRUMENTAL MUSIC 12: GUITAR,Music,,,Regular,19,,23,,29,,2.0
,,,,,,,,4,,,,,
,MIMJB11--L,INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,Band,,,Regular,20,,20,,100,,1.0
,,,,,,,,0,,,,,
,MIMJB12--L,INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,Band,,,Regular,14,,14,,100,,1.0
,,,,,,,,0,,,,,
